CMDLINE python3 tmp/benchmark.py
MEM 1.484375 1523389461.3287
MEM 21.218750 1523389461.4290
MEM 31.964844 1523389461.5293
MEM 41.003906 1523389461.6295
MEM 48.734375 1523389461.7298
MEM 49.562500 1523389461.8301
MEM 72.507812 1523389461.9304
MEM 95.535156 1523389462.0307
MEM 100.628906 1523389462.1310
MEM 105.671875 1523389462.2313
MEM 107.949219 1523389462.3316
MEM 107.949219 1523389462.4319
MEM 109.691406 1523389462.5322
MEM 115.226562 1523389462.6326
MEM 120.640625 1523389462.7329
MEM 122.933594 1523389462.8332
MEM 122.933594 1523389462.9335
MEM 122.933594 1523389463.0338
MEM 130.097656 1523389463.1341
MEM 130.097656 1523389463.2345
MEM 130.097656 1523389463.3348
MEM 130.097656 1523389463.4351
MEM 130.097656 1523389463.5354
MEM 130.097656 1523389463.6357
MEM 130.097656 1523389463.7360
MEM 130.097656 1523389463.8363
MEM 130.097656 1523389463.9367
MEM 130.097656 1523389464.0370
MEM 130.097656 1523389464.1373
MEM 143.859375 1523389464.2376
MEM 164.882812 1523389464.3430
MEM 195.011719 1523389464.4433
MEM 265.050781 1523389464.5438
MEM 367.984375 1523389464.6444
MEM 392.718750 1523389464.7447
MEM 321.492188 1523389464.8451
MEM 329.597656 1523389464.9454
MEM 329.597656 1523389465.0458
MEM 331.335938 1523389465.1462
MEM 344.210938 1523389465.2465
MEM 382.878906 1523389465.3468
MEM 503.535156 1523389465.4473
MEM 525.015625 1523389465.5476
MEM 392.492188 1523389465.6479
MEM 392.492188 1523389465.7483
MEM 392.492188 1523389465.8590
MEM 392.492188 1523389465.9594
MEM 392.492188 1523389466.0599
MEM 392.492188 1523389466.1602
MEM 515.722656 1523389466.2607
MEM 392.496094 1523389466.3610
MEM 392.496094 1523389466.4614
MEM 392.496094 1523389466.5617
MEM 392.496094 1523389466.6621
MEM 392.496094 1523389466.7624
MEM 392.496094 1523389466.8628
MEM 417.757812 1523389466.9631
MEM 530.421875 1523389467.0638
MEM 407.152344 1523389467.1642
MEM 407.152344 1523389467.2646
MEM 407.152344 1523389467.3649
MEM 407.152344 1523389467.4652
MEM 407.152344 1523389467.5656
MEM 407.152344 1523389467.6661
MEM 407.152344 1523389467.7666
MEM 477.859375 1523389467.8669
MEM 555.976562 1523389467.9674
MEM 432.902344 1523389468.0678
MEM 432.902344 1523389468.1681
MEM 432.902344 1523389468.2684
MEM 432.902344 1523389468.3688
MEM 432.902344 1523389468.4692
MEM 432.902344 1523389468.5697
MEM 432.902344 1523389468.6700
MEM 451.718750 1523389468.7731
MEM 502.507812 1523389468.8735
MEM 552.781250 1523389468.9738
MEM 577.531250 1523389469.0742
MEM 587.894531 1523389469.1745
MEM 484.500000 1523389469.2748
MEM 454.339844 1523389469.3752
MEM 454.339844 1523389469.4772
MEM 454.339844 1523389469.5854
MEM 454.339844 1523389469.6869
MEM 454.339844 1523389469.7872
MEM 454.339844 1523389469.8875
MEM 454.339844 1523389469.9879
MEM 454.339844 1523389470.0882
MEM 454.339844 1523389470.1886
MEM 523.941406 1523389470.2895
MEM 551.843750 1523389470.3898
MEM 523.730469 1523389470.4902
MEM 475.781250 1523389470.5905
MEM 475.781250 1523389470.6909
MEM 475.781250 1523389470.7913
MEM 475.781250 1523389470.8917
MEM 475.781250 1523389470.9921
MEM 475.781250 1523389471.0927
MEM 481.187500 1523389471.1932
MEM 604.679688 1523389471.2936
MEM 481.417969 1523389471.3940
MEM 481.417969 1523389471.4944
MEM 481.417969 1523389471.5967
MEM 481.417969 1523389471.6972
MEM 481.417969 1523389471.7975
MEM 481.417969 1523389471.8980
MEM 481.417969 1523389471.9984
MEM 481.421875 1523389472.0987
MEM 486.316406 1523389472.1991
MEM 577.839844 1523389472.2995
MEM 502.859375 1523389472.3999
MEM 502.859375 1523389472.5002
MEM 502.859375 1523389472.6006
MEM 502.859375 1523389472.7010
MEM 502.859375 1523389472.8013
MEM 502.859375 1523389472.9018
MEM 502.859375 1523389473.0022
MEM 527.343750 1523389473.1026
MEM 502.863281 1523389473.2031
MEM 459.414062 1523389473.3036
MEM 584.195312 1523389473.4040
MEM 621.617188 1523389473.5043
MEM 490.640625 1523389473.6047
MEM 490.640625 1523389473.7051
MEM 490.640625 1523389473.8055
MEM 490.640625 1523389473.9058
MEM 490.640625 1523389474.0063
MEM 490.640625 1523389474.1067
MEM 490.640625 1523389474.2072
MEM 490.644531 1523389474.3076
MEM 490.644531 1523389474.4082
MEM 550.710938 1523389474.5085
MEM 631.664062 1523389474.6090
MEM 514.792969 1523389474.7094
MEM 508.609375 1523389474.8098
MEM 508.609375 1523389474.9101
MEM 508.609375 1523389475.0105
MEM 508.609375 1523389475.1109
MEM 508.609375 1523389475.2113
MEM 508.609375 1523389475.3117
MEM 508.609375 1523389475.4121
MEM 508.609375 1523389475.5126
MEM 508.609375 1523389475.6132
MEM 559.394531 1523389475.7136
MEM 606.281250 1523389475.8139
MEM 578.683594 1523389475.9143
MEM 511.398438 1523389476.0146
MEM 511.398438 1523389476.1150
MEM 511.398438 1523389476.2154
