CMDLINE python3 tmp/benchmark.py
MEM 1.554688 1523390760.8207
MEM 21.695312 1523390760.9210
MEM 32.402344 1523390761.0213
MEM 41.816406 1523390761.1216
MEM 49.019531 1523390761.2219
MEM 50.105469 1523390761.3222
MEM 72.859375 1523390761.4226
MEM 95.019531 1523390761.5228
MEM 104.851562 1523390761.6232
MEM 104.585938 1523390761.7235
MEM 108.277344 1523390761.8238
MEM 108.406250 1523390761.9241
MEM 109.109375 1523390762.0244
MEM 114.839844 1523390762.1247
MEM 120.511719 1523390762.2250
MEM 123.058594 1523390762.3253
MEM 123.058594 1523390762.4256
MEM 123.058594 1523390762.5259
MEM 130.652344 1523390762.6267
MEM 130.652344 1523390762.7270
MEM 130.652344 1523390762.8273
MEM 130.652344 1523390762.9276
MEM 130.652344 1523390763.0282
MEM 130.652344 1523390763.1285
MEM 130.652344 1523390763.2289
MEM 130.652344 1523390763.3292
MEM 130.652344 1523390763.4295
MEM 130.652344 1523390763.5299
MEM 130.652344 1523390763.6302
MEM 131.128906 1523390763.7305
MEM 171.835938 1523390763.8314
MEM 220.628906 1523390763.9317
MEM 321.093750 1523390764.0321
MEM 368.339844 1523390764.1325
MEM 338.476562 1523390764.2328
MEM 323.402344 1523390764.3332
MEM 330.390625 1523390764.4336
MEM 331.671875 1523390764.5340
MEM 331.671875 1523390764.6359
MEM 331.671875 1523390764.7365
MEM 361.804688 1523390764.8370
MEM 466.730469 1523390764.9374
MEM 507.804688 1523390765.0377
MEM 428.812500 1523390765.1382
MEM 392.812500 1523390765.2385
MEM 392.812500 1523390765.3389
MEM 392.812500 1523390765.4392
MEM 392.812500 1523390765.5398
MEM 392.812500 1523390765.6402
MEM 505.214844 1523390765.7406
MEM 531.785156 1523390765.8409
MEM 392.816406 1523390765.9413
MEM 392.816406 1523390766.0416
MEM 392.816406 1523390766.1420
MEM 392.816406 1523390766.2424
MEM 392.816406 1523390766.3430
MEM 416.015625 1523390766.4433
MEM 530.742188 1523390766.5438
MEM 407.472656 1523390766.6441
MEM 407.472656 1523390766.7445
MEM 407.472656 1523390766.8448
MEM 407.472656 1523390766.9452
MEM 407.472656 1523390767.0485
MEM 407.472656 1523390767.1489
MEM 433.082031 1523390767.2492
MEM 527.183594 1523390767.3495
MEM 564.214844 1523390767.4498
MEM 433.238281 1523390767.5502
MEM 433.238281 1523390767.6505
MEM 433.238281 1523390767.7509
MEM 433.238281 1523390767.8512
MEM 433.238281 1523390767.9515
MEM 433.238281 1523390768.0520
MEM 463.656250 1523390768.1523
MEM 577.867188 1523390768.2527
MEM 454.675781 1523390768.3530
MEM 454.675781 1523390768.4534
MEM 454.675781 1523390768.5538
MEM 454.675781 1523390768.6542
MEM 454.675781 1523390768.7548
MEM 454.675781 1523390768.8553
MEM 454.675781 1523390768.9559
MEM 484.058594 1523390769.0562
MEM 599.300781 1523390769.1567
MEM 476.117188 1523390769.2571
MEM 476.117188 1523390769.3574
MEM 476.117188 1523390769.4578
MEM 476.117188 1523390769.5582
MEM 476.117188 1523390769.6586
MEM 476.117188 1523390769.7590
MEM 476.117188 1523390769.8595
MEM 476.117188 1523390769.9600
MEM 576.656250 1523390770.0603
MEM 614.277344 1523390770.1607
MEM 481.753906 1523390770.2610
MEM 481.753906 1523390770.3614
MEM 481.753906 1523390770.4617
MEM 481.753906 1523390770.5621
MEM 481.753906 1523390770.6625
MEM 481.753906 1523390770.7629
MEM 481.757812 1523390770.8634
MEM 481.757812 1523390770.9638
MEM 578.175781 1523390771.0642
MEM 503.195312 1523390771.1646
MEM 503.195312 1523390771.2649
MEM 503.195312 1523390771.3652
MEM 503.195312 1523390771.4655
MEM 503.195312 1523390771.5658
MEM 503.195312 1523390771.6662
MEM 503.195312 1523390771.7666
MEM 503.199219 1523390771.8671
MEM 503.199219 1523390771.9676
MEM 539.156250 1523390772.0680
MEM 566.011719 1523390772.1684
MEM 527.324219 1523390772.2688
MEM 490.976562 1523390772.3691
MEM 490.976562 1523390772.4695
MEM 490.976562 1523390772.5699
MEM 490.976562 1523390772.6703
MEM 490.976562 1523390772.7707
MEM 490.976562 1523390772.8711
MEM 490.980469 1523390772.9715
MEM 490.980469 1523390773.0720
MEM 550.531250 1523390773.1723
MEM 632.000000 1523390773.2727
MEM 519.511719 1523390773.3731
MEM 508.945312 1523390773.4734
MEM 508.945312 1523390773.5755
MEM 508.945312 1523390773.6758
MEM 508.945312 1523390773.7762
