CMDLINE python3 tmp/benchmark.py
MEM 1.441406 1523392889.2141
MEM 21.015625 1523392889.3145
MEM 32.027344 1523392889.4148
MEM 41.457031 1523392889.5151
MEM 48.917969 1523392889.6154
MEM 49.687500 1523392889.7157
MEM 71.738281 1523392889.8160
MEM 94.695312 1523392889.9163
MEM 104.425781 1523392890.0167
MEM 104.007812 1523392890.1170
MEM 107.910156 1523392890.2173
MEM 108.078125 1523392890.3176
MEM 108.968750 1523392890.4179
MEM 111.808594 1523392890.5182
MEM 117.269531 1523392890.6185
MEM 122.425781 1523392890.7189
MEM 122.855469 1523392890.8192
MEM 122.855469 1523392890.9195
MEM 124.375000 1523392891.0198
MEM 130.105469 1523392891.1201
MEM 130.105469 1523392891.2204
MEM 130.105469 1523392891.3207
MEM 130.105469 1523392891.4213
MEM 130.105469 1523392891.5217
MEM 130.105469 1523392891.6220
MEM 130.105469 1523392891.7223
MEM 130.105469 1523392891.8226
MEM 130.105469 1523392891.9229
MEM 130.105469 1523392892.0232
MEM 130.105469 1523392892.1236
MEM 160.214844 1523392892.2240
MEM 199.132812 1523392892.3243
MEM 233.781250 1523392892.4247
MEM 323.308594 1523392892.5250
MEM 350.878906 1523392892.6254
MEM 358.410156 1523392892.7257
MEM 328.898438 1523392892.8264
MEM 329.527344 1523392892.9268
MEM 331.121094 1523392893.0272
MEM 331.121094 1523392893.1276
MEM 361.019531 1523392893.2280
MEM 440.402344 1523392893.3284
MEM 467.300781 1523392893.4288
MEM 416.753906 1523392893.5292
MEM 392.265625 1523392893.6296
MEM 392.265625 1523392893.7300
MEM 392.265625 1523392893.8304
MEM 392.265625 1523392893.9309
MEM 392.265625 1523392894.0314
MEM 440.531250 1523392894.1320
MEM 468.910156 1523392894.2323
MEM 429.453125 1523392894.3327
MEM 392.332031 1523392894.4331
MEM 392.332031 1523392894.5334
MEM 392.332031 1523392894.6339
MEM 392.332031 1523392894.7343
MEM 398.515625 1523392894.8348
MEM 465.804688 1523392894.9351
MEM 508.832031 1523392895.0354
MEM 479.945312 1523392895.1358
MEM 406.988281 1523392895.2362
MEM 406.988281 1523392895.3365
MEM 406.988281 1523392895.4369
MEM 406.988281 1523392895.5374
MEM 406.988281 1523392895.6382
MEM 432.593750 1523392895.7386
MEM 555.828125 1523392895.8390
MEM 432.753906 1523392895.9393
MEM 432.753906 1523392896.0397
MEM 432.753906 1523392896.1400
MEM 432.753906 1523392896.2404
MEM 432.753906 1523392896.3407
MEM 432.753906 1523392896.4412
MEM 432.753906 1523392896.5417
MEM 493.593750 1523392896.6420
MEM 577.382812 1523392896.7424
MEM 469.914062 1523392896.8428
MEM 454.191406 1523392896.9432
MEM 454.191406 1523392897.0436
MEM 454.191406 1523392897.1439
MEM 454.191406 1523392897.2444
MEM 454.191406 1523392897.3449
MEM 454.191406 1523392897.4453
MEM 517.605469 1523392897.5457
MEM 598.816406 1523392897.6462
MEM 476.917969 1523392897.7465
MEM 475.632812 1523392897.8469
MEM 475.632812 1523392897.9473
MEM 475.632812 1523392898.0477
MEM 475.632812 1523392898.1481
MEM 475.632812 1523392898.2485
MEM 475.632812 1523392898.3491
MEM 481.039062 1523392898.4496
MEM 604.531250 1523392898.5501
MEM 481.269531 1523392898.6505
MEM 481.269531 1523392898.7508
MEM 481.269531 1523392898.8514
MEM 481.269531 1523392898.9518
MEM 481.269531 1523392899.0521
MEM 481.269531 1523392899.1525
MEM 481.269531 1523392899.2531
MEM 481.273438 1523392899.3536
MEM 501.894531 1523392899.4559
MEM 577.691406 1523392899.5563
MEM 502.710938 1523392899.6567
MEM 502.710938 1523392899.7571
MEM 502.710938 1523392899.8574
MEM 502.710938 1523392899.9578
MEM 502.710938 1523392900.0582
MEM 502.710938 1523392900.1586
