CMDLINE python3 tmp/benchmark.py
MEM 1.441406 1523394241.6357
MEM 21.269531 1523394241.7360
MEM 31.765625 1523394241.8363
MEM 41.218750 1523394241.9366
MEM 48.914062 1523394242.0369
MEM 49.941406 1523394242.1372
MEM 72.617188 1523394242.2376
MEM 95.125000 1523394242.3379
MEM 100.218750 1523394242.4382
MEM 104.839844 1523394242.5385
MEM 107.906250 1523394242.6388
MEM 108.074219 1523394242.7391
MEM 108.984375 1523394242.8394
MEM 115.222656 1523394242.9397
MEM 120.636719 1523394243.0401
MEM 122.855469 1523394243.1403
MEM 122.855469 1523394243.2409
MEM 122.855469 1523394243.3412
MEM 130.355469 1523394243.4415
MEM 130.355469 1523394243.5419
MEM 130.355469 1523394243.6422
MEM 130.355469 1523394243.7425
MEM 130.355469 1523394243.8428
MEM 130.355469 1523394243.9431
MEM 130.355469 1523394244.0434
MEM 130.355469 1523394244.1438
MEM 130.355469 1523394244.2441
MEM 130.355469 1523394244.3486
MEM 130.355469 1523394244.4489
MEM 130.355469 1523394244.5492
MEM 160.464844 1523394244.6495
MEM 195.113281 1523394244.7502
MEM 275.722656 1523394244.8506
MEM 368.085938 1523394244.9511
MEM 319.863281 1523394245.0514
MEM 321.601562 1523394245.1518
MEM 329.703125 1523394245.2521
MEM 329.703125 1523394245.3525
MEM 331.292969 1523394245.4530
MEM 348.816406 1523394245.5535
MEM 392.367188 1523394245.6540
MEM 515.601562 1523394245.7545
MEM 392.441406 1523394245.8548
MEM 392.441406 1523394245.9552
MEM 392.441406 1523394246.0556
MEM 392.441406 1523394246.1560
MEM 392.441406 1523394246.2565
MEM 392.441406 1523394246.3572
MEM 440.707031 1523394246.4578
MEM 477.542969 1523394246.5586
MEM 409.519531 1523394246.6589
MEM 392.507812 1523394246.7593
MEM 392.507812 1523394246.8597
MEM 392.507812 1523394246.9600
MEM 392.507812 1523394247.0606
MEM 398.691406 1523394247.1609
MEM 469.589844 1523394247.2612
MEM 514.164062 1523394247.3615
MEM 482.183594 1523394247.4621
MEM 407.164062 1523394247.5624
MEM 407.164062 1523394247.6628
MEM 407.164062 1523394247.7632
MEM 407.164062 1523394247.8637
MEM 407.164062 1523394247.9644
MEM 465.769531 1523394248.0648
MEM 556.003906 1523394248.1654
MEM 432.929688 1523394248.2658
MEM 432.929688 1523394248.3661
MEM 432.929688 1523394248.4665
MEM 432.929688 1523394248.5668
MEM 432.929688 1523394248.6672
MEM 432.929688 1523394248.7677
MEM 432.929688 1523394248.8682
MEM 502.535156 1523394248.9687
MEM 546.414062 1523394249.0691
MEM 517.527344 1523394249.1694
MEM 454.367188 1523394249.2697
MEM 454.367188 1523394249.3702
MEM 454.367188 1523394249.4705
MEM 454.367188 1523394249.5709
MEM 454.367188 1523394249.6714
MEM 454.367188 1523394249.7718
MEM 523.968750 1523394249.8723
MEM 556.000000 1523394249.9727
MEM 525.824219 1523394250.0730
MEM 475.812500 1523394250.1733
MEM 475.812500 1523394250.2737
MEM 475.812500 1523394250.3741
MEM 475.812500 1523394250.4744
MEM 475.812500 1523394250.5750
MEM 475.812500 1523394250.6757
MEM 501.070312 1523394250.7761
MEM 604.710938 1523394250.8766
MEM 481.449219 1523394250.9771
MEM 481.449219 1523394251.0776
MEM 481.449219 1523394251.1781
MEM 481.449219 1523394251.2786
MEM 481.449219 1523394251.3793
MEM 481.449219 1523394251.4797
MEM 530.425781 1523394251.5802
MEM 481.453125 1523394251.6808
MEM 502.847656 1523394251.7814
MEM 577.871094 1523394251.8819
MEM 536.402344 1523394251.9822
MEM 502.890625 1523394252.0825
MEM 502.890625 1523394252.1829
MEM 502.890625 1523394252.2833
MEM 502.890625 1523394252.3836
MEM 502.890625 1523394252.4841
MEM 507.781250 1523394252.5844
MEM 502.894531 1523394252.6851
MEM 465.632812 1523394252.7855
MEM 591.703125 1523394252.8859
MEM 624.484375 1523394252.9863
MEM 490.671875 1523394253.0866
MEM 490.671875 1523394253.1871
MEM 490.671875 1523394253.2875
MEM 490.671875 1523394253.3879
MEM 490.671875 1523394253.4884
MEM 490.671875 1523394253.5888
MEM 490.671875 1523394253.6893
MEM 490.675781 1523394253.7899
MEM 504.078125 1523394253.8903
MEM 592.250000 1523394253.9907
MEM 623.890625 1523394254.0911
MEM 508.640625 1523394254.1914
MEM 508.640625 1523394254.2918
MEM 508.640625 1523394254.3922
MEM 508.640625 1523394254.4926
MEM 508.640625 1523394254.5931
MEM 508.640625 1523394254.6935
MEM 508.640625 1523394254.7940
MEM 530.808594 1523394254.8943
MEM 508.640625 1523394254.9949
MEM 511.214844 1523394255.0955
MEM 634.449219 1523394255.1960
MEM 511.429688 1523394255.2963
MEM 511.429688 1523394255.3967
MEM 511.429688 1523394255.4971
MEM 511.429688 1523394255.5975
MEM 511.429688 1523394255.6979
MEM 511.429688 1523394255.7982
MEM 511.429688 1523394255.8986
MEM 511.429688 1523394255.9989
MEM 511.429688 1523394256.0993
MEM 522.769531 1523394256.1996
MEM 511.429688 1523394256.3001
MEM 520.449219 1523394256.4006
MEM 635.691406 1523394256.5009
MEM 666.609375 1523394256.6012
MEM 528.929688 1523394256.7015
MEM 528.929688 1523394256.8018
MEM 528.929688 1523394256.9022
MEM 528.929688 1523394257.0026
MEM 528.929688 1523394257.1030
MEM 528.929688 1523394257.2033
MEM 528.929688 1523394257.3037
MEM 528.929688 1523394257.4041
MEM 528.929688 1523394257.5045
MEM 528.929688 1523394257.6050
MEM 535.371094 1523394257.7053
MEM 616.582031 1523394257.8056
MEM 658.484375 1523394257.9060
MEM 629.597656 1523394258.0064
MEM 554.578125 1523394258.1068
MEM 554.578125 1523394258.2072
MEM 554.578125 1523394258.3075
MEM 554.578125 1523394258.4079
MEM 554.578125 1523394258.5082
MEM 554.578125 1523394258.6087
MEM 554.578125 1523394258.7092
MEM 554.578125 1523394258.8099
MEM 554.578125 1523394258.9104
MEM 554.578125 1523394259.0109
MEM 554.578125 1523394259.1113
MEM 625.472656 1523394259.2116
MEM 676.054688 1523394259.3120
MEM 647.425781 1523394259.4124
MEM 576.015625 1523394259.5128
MEM 576.015625 1523394259.6132
MEM 576.015625 1523394259.7137
MEM 576.015625 1523394259.8141
MEM 576.015625 1523394259.9145
MEM 576.015625 1523394260.0150
MEM 576.015625 1523394260.1153
MEM 576.015625 1523394260.2157
MEM 576.015625 1523394260.3161
MEM 587.093750 1523394260.4165
MEM 576.019531 1523394260.5170
MEM 576.019531 1523394260.6174
MEM 671.148438 1523394260.7177
MEM 714.691406 1523394260.8180
MEM 585.261719 1523394260.9184
MEM 585.261719 1523394261.0189
MEM 585.261719 1523394261.1192
MEM 585.261719 1523394261.2197
MEM 585.261719 1523394261.3201
MEM 585.261719 1523394261.4204
MEM 585.261719 1523394261.5208
MEM 585.261719 1523394261.6212
MEM 585.261719 1523394261.7217
MEM 585.261719 1523394261.8221
MEM 585.261719 1523394261.9224
MEM 657.187500 1523394262.0228
MEM 585.261719 1523394262.1232
MEM 585.261719 1523394262.2237
MEM 708.492188 1523394262.3241
MEM 585.261719 1523394262.4244
MEM 585.261719 1523394262.5248
MEM 585.261719 1523394262.6252
MEM 585.261719 1523394262.7256
MEM 585.261719 1523394262.8263
MEM 585.261719 1523394262.9267
MEM 585.261719 1523394263.0271
MEM 585.261719 1523394263.1275
MEM 585.261719 1523394263.2279
MEM 585.261719 1523394263.3283
MEM 585.261719 1523394263.4287
MEM 585.261719 1523394263.5291
MEM 585.261719 1523394263.6295
MEM 585.386719 1523394263.7300
MEM 585.386719 1523394263.8303
MEM 645.710938 1523394263.9308
MEM 672.617188 1523394264.0312
MEM 620.523438 1523394264.1315
MEM 597.582031 1523394264.2319
MEM 597.582031 1523394264.3323
MEM 597.582031 1523394264.4331
MEM 641.582031 1523394264.5335
MEM 597.582031 1523394264.6338
MEM 426.203125 1523394264.7343
MEM 426.203125 1523394264.8347
MEM 426.203125 1523394264.9351
MEM 426.671875 1523394265.0354
MEM 426.671875 1523394265.1361
MEM 430.742188 1523394265.2365
MEM 431.769531 1523394265.3371
MEM 589.808594 1523394265.4375
MEM 589.906250 1523394265.5380
MEM 589.906250 1523394265.6384
MEM 589.906250 1523394265.7389
MEM 589.906250 1523394265.8393
MEM 664.929688 1523394265.9397
MEM 664.941406 1523394266.0402
MEM 560.886719 1523394266.1405
MEM 439.851562 1523394266.2408
MEM 514.859375 1523394266.3412
MEM 439.851562 1523394266.4415
MEM 439.851562 1523394266.5418
MEM 439.851562 1523394266.6421
MEM 439.851562 1523394266.7424
MEM 439.851562 1523394266.8429
MEM 500.304688 1523394266.9432
MEM 697.015625 1523394267.0436
MEM 577.597656 1523394267.1441
MEM 630.964844 1523394267.2446
MEM 684.332031 1523394267.3451
MEM 468.214844 1523394267.4454
MEM 538.078125 1523394267.5458
MEM 538.078125 1523394267.6462
MEM 546.332031 1523394267.7466
MEM 618.261719 1523394267.8470
MEM 468.218750 1523394267.9474
MEM 486.519531 1523394268.0477
MEM 556.218750 1523394268.1481
MEM 775.621094 1523394268.2485
MEM 614.695312 1523394268.3490
MEM 668.062500 1523394268.4494
MEM 612.375000 1523394268.5498
MEM 713.179688 1523394268.6502
MEM 713.179688 1523394268.7506
MEM 608.218750 1523394268.8509
MEM 713.179688 1523394268.9513
MEM 590.722656 1523394269.0516
MEM 710.859375 1523394269.1520
MEM 643.570312 1523394269.2524
MEM 590.722656 1523394269.3529
MEM 713.179688 1523394269.4532
MEM 639.703125 1523394269.5536
MEM 476.722656 1523394269.6540
MEM 597.121094 1523394269.7543
MEM 694.359375 1523394269.8547
MEM 713.226562 1523394269.9551
MEM 619.593750 1523394270.0554
MEM 785.882812 1523394270.1558
MEM 713.226562 1523394270.2561
MEM 713.179688 1523394270.3565
MEM 713.226562 1523394270.4569
MEM 590.722656 1523394270.5573
MEM 622.687500 1523394270.6577
MEM 713.179688 1523394270.7583
MEM 713.179688 1523394270.8586
MEM 675.343750 1523394270.9590
MEM 713.179688 1523394271.0597
MEM 713.226562 1523394271.1602
MEM 713.179688 1523394271.2612
MEM 713.226562 1523394271.3617
MEM 630.679688 1523394271.4620
MEM 835.640625 1523394271.5625
MEM 906.582031 1523394271.6629
MEM 958.144531 1523394271.7633
MEM 542.695312 1523394271.8637
MEM 651.488281 1523394271.9641
MEM 833.628906 1523394272.0646
MEM 636.867188 1523394272.1651
MEM 690.234375 1523394272.2655
MEM 721.429688 1523394272.3659
MEM 835.640625 1523394272.4663
MEM 768.394531 1523394272.5666
MEM 921.535156 1523394272.6670
MEM 818.410156 1523394272.7674
MEM 1034.199219 1523394272.8677
MEM 1034.199219 1523394272.9681
MEM 1034.199219 1523394273.0685
MEM 1034.199219 1523394273.1688
MEM 1034.199219 1523394273.2692
MEM 1034.199219 1523394273.3696
MEM 1034.199219 1523394273.4700
MEM 1034.199219 1523394273.5703
MEM 1034.199219 1523394273.6707
MEM 1034.199219 1523394273.7711
MEM 1034.199219 1523394273.8715
MEM 1034.199219 1523394273.9718
MEM 1034.199219 1523394274.0722
MEM 1034.199219 1523394274.1726
MEM 1034.199219 1523394274.2729
MEM 1034.199219 1523394274.3732
MEM 937.023438 1523394274.4736
MEM 836.691406 1523394274.5747
MEM 836.691406 1523394274.6752
MEM 958.121094 1523394274.7755
MEM 849.582031 1523394274.8759
MEM 959.152344 1523394274.9763
MEM 959.152344 1523394275.0766
MEM 959.152344 1523394275.1770
MEM 959.152344 1523394275.2774
MEM 959.152344 1523394275.3778
MEM 781.777344 1523394275.4781
MEM 740.011719 1523394275.5786
MEM 789.269531 1523394275.6790
MEM 836.691406 1523394275.7794
MEM 836.738281 1523394275.8798
MEM 724.027344 1523394275.9801
MEM 852.675781 1523394276.0805
MEM 798.855469 1523394276.1808
MEM 836.691406 1523394276.2812
MEM 836.691406 1523394276.3817
MEM 836.738281 1523394276.4821
MEM 836.691406 1523394276.5824
MEM 836.691406 1523394276.6829
MEM 836.738281 1523394276.7833
MEM 858.347656 1523394276.8837
MEM 959.152344 1523394276.9841
MEM 1078.304688 1523394277.0845
MEM 469.226562 1523394277.1850
MEM 506.863281 1523394277.2854
MEM 544.246094 1523394277.3859
MEM 469.226562 1523394277.4883
MEM 530.839844 1523394277.5887
MEM 520.011719 1523394277.6891
MEM 543.832031 1523394277.7894
MEM 620.945312 1523394277.8898
MEM 834.636719 1523394277.9902
MEM 631.171875 1523394278.0906
MEM 684.281250 1523394278.1909
MEM 690.726562 1523394278.2913
MEM 696.656250 1523394278.3916
MEM 598.171875 1523394278.4920
MEM 813.703125 1523394278.5923
MEM 836.648438 1523394278.6927
MEM 836.648438 1523394278.7932
MEM 836.648438 1523394278.8935
MEM 836.648438 1523394278.9939
MEM 731.246094 1523394279.0942
MEM 825.863281 1523394279.1946
MEM 642.257812 1523394279.2950
MEM 748.992188 1523394279.3954
MEM 646.230469 1523394279.4957
MEM 690.984375 1523394279.5961
MEM 714.187500 1523394279.6964
MEM 657.726562 1523394279.7967
MEM 748.992188 1523394279.8971
MEM 748.992188 1523394279.9975
MEM 748.992188 1523394280.0979
MEM 748.992188 1523394280.1982
MEM 748.992188 1523394280.2986
MEM 574.925781 1523394280.3989
MEM 591.730469 1523394280.4993
MEM 714.187500 1523394280.5997
MEM 714.234375 1523394280.7001
MEM 714.187500 1523394280.8005
MEM 830.976562 1523394280.9009
MEM 970.968750 1523394281.0012
MEM 970.968750 1523394281.1016
MEM 970.968750 1523394281.2019
MEM 970.968750 1523394281.3023
MEM 970.968750 1523394281.4045
MEM 726.003906 1523394281.5048
MEM 642.683594 1523394281.6052
MEM 795.824219 1523394281.7055
MEM 795.824219 1523394281.8059
MEM 632.113281 1523394281.9062
MEM 725.957031 1523394282.0066
MEM 780.871094 1523394282.1070
MEM 640.363281 1523394282.2073
MEM 795.824219 1523394282.3077
MEM 795.824219 1523394282.4081
MEM 795.824219 1523394282.5085
MEM 795.824219 1523394282.6089
MEM 795.824219 1523394282.7092
MEM 726.003906 1523394282.8096
MEM 806.136719 1523394282.9099
MEM 846.656250 1523394283.0103
MEM 750.003906 1523394283.1107
MEM 535.953125 1523394283.2110
MEM 642.859375 1523394283.3114
MEM 846.406250 1523394283.4118
MEM 645.003906 1523394283.5121
MEM 697.855469 1523394283.6125
MEM 703.011719 1523394283.7129
MEM 659.957031 1523394283.8132
MEM 738.074219 1523394283.9137
MEM 708.941406 1523394284.0140
MEM 838.363281 1523394284.1143
MEM 726.003906 1523394284.2147
MEM 848.976562 1523394284.3150
MEM 754.101562 1523394284.4154
MEM 772.742188 1523394284.5157
MEM 871.406250 1523394284.6160
MEM 740.179688 1523394284.7164
MEM 786.328125 1523394284.8167
